input,issues
"Drone log, vbat avg=22.88V (min=22.72V), amperage max=4.82A, rssi avg=37 (min=37), motor imbalance=203, gyro variability=0.048, acc variability=0.071, GPS sats min=11, GPS speed max=18.29 m/s, alt avg=760.5m, throttle avg=1138, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.34V (min=22.24V), amperage max=4.35A, rssi avg=62 (min=62), motor imbalance=195, gyro variability=0.045, acc variability=0.139, GPS sats min=13, GPS speed max=17.35 m/s, alt avg=598.0m, throttle avg=1116, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.79V (min=21.67V), amperage max=6.32A, rssi avg=35 (min=35), motor imbalance=511, gyro variability=0.152, acc variability=0.059, GPS sats min=15, GPS speed max=10.07 m/s, alt avg=784.1m, throttle avg=1169, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.19V (min=15.62V), amperage max=14.6A, rssi avg=69 (min=51), motor imbalance=400, gyro variability=0.708, acc variability=14.274, GPS sats min=8, GPS speed max=8.62 m/s, alt avg=132.7m, throttle avg=1261, failsafe phase=1, rx signal quality=0.95 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=23.39V (min=14.71V), amperage max=13.09A, rssi avg=32 (min=71), motor imbalance=140, gyro variability=2.687, acc variability=31.446, GPS sats min=1, GPS speed max=5.52 m/s, alt avg=144.7m, throttle avg=1759, failsafe phase=0, rx signal quality=0.94 → What issues occurred?",no issue
"Drone log, vbat avg=23.59V (min=22.18V), amperage max=5.8A, rssi avg=59 (min=64), motor imbalance=61, gyro variability=4.82, acc variability=9.915, GPS sats min=11, GPS speed max=21.18 m/s, alt avg=140.8m, throttle avg=1031, failsafe phase=0, rx signal quality=0.83 → What issues occurred?",no issue
"Drone log, vbat avg=23.72V (min=21.66V), amperage max=13.85A, rssi avg=54 (min=73), motor imbalance=293, gyro variability=1.355, acc variability=15.72, GPS sats min=9, GPS speed max=21.4 m/s, alt avg=66.4m, throttle avg=1203, failsafe phase=0, rx signal quality=0.96 → What issues occurred?",no issue
"Drone log, vbat avg=23.78V (min=15.97V), amperage max=19.81A, rssi avg=70 (min=32), motor imbalance=220, gyro variability=2.302, acc variability=24.759, GPS sats min=7, GPS speed max=19.36 m/s, alt avg=102.8m, throttle avg=1377, failsafe phase=1, rx signal quality=0.22 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=22.62V (min=13.68V), amperage max=18.77A, rssi avg=27 (min=50), motor imbalance=228, gyro variability=1.555, acc variability=31.569, GPS sats min=0, GPS speed max=13.6 m/s, alt avg=123.6m, throttle avg=1289, failsafe phase=0, rx signal quality=0.66 → What issues occurred?",failsafe triggered; gps loss
"Drone log, vbat avg=22.73V (min=14.52V), amperage max=21.33A, rssi avg=73 (min=54), motor imbalance=396, gyro variability=3.922, acc variability=20.984, GPS sats min=6, GPS speed max=17.64 m/s, alt avg=52.1m, throttle avg=1181, failsafe phase=1, rx signal quality=0.2 → What issues occurred?",motor desync; failsafe triggered
"Drone log, vbat avg=23.35V (min=10.24V), amperage max=6.02A, rssi avg=99 (min=74), motor imbalance=373, gyro variability=1.469, acc variability=33.542, GPS sats min=2, GPS speed max=5.1 m/s, alt avg=78.2m, throttle avg=1037, failsafe phase=1, rx signal quality=1.0 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=23.79V (min=8.83V), amperage max=5.13A, rssi avg=67 (min=46), motor imbalance=374, gyro variability=3.179, acc variability=14.236, GPS sats min=13, GPS speed max=14.53 m/s, alt avg=66.2m, throttle avg=1552, failsafe phase=1, rx signal quality=0.22 → What issues occurred?",prop wash; battery sag; motor desync; failsafe triggered
"Drone log, vbat avg=22.37V (min=20.54V), amperage max=10.54A, rssi avg=82 (min=19), motor imbalance=152, gyro variability=1.313, acc variability=26.427, GPS sats min=13, GPS speed max=0.76 m/s, alt avg=68.8m, throttle avg=1145, failsafe phase=0, rx signal quality=0.85 → What issues occurred?",rssi drop
"Drone log, vbat avg=22.15V (min=22.03V), amperage max=4.2A, rssi avg=46 (min=44), motor imbalance=402, gyro variability=0.069, acc variability=0.14, GPS sats min=14, GPS speed max=22.41 m/s, alt avg=657.0m, throttle avg=1134, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.01V (min=16.96V), amperage max=14.31A, rssi avg=27 (min=58), motor imbalance=25, gyro variability=0.611, acc variability=3.157, GPS sats min=7, GPS speed max=3.5 m/s, alt avg=76.9m, throttle avg=1657, failsafe phase=0, rx signal quality=0.11 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=22.33V (min=22.29V), amperage max=3.95A, rssi avg=34 (min=33), motor imbalance=192, gyro variability=0.046, acc variability=0.149, GPS sats min=13, GPS speed max=16.21 m/s, alt avg=608.0m, throttle avg=1105, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.72V (min=22.61V), amperage max=5.15A, rssi avg=48 (min=47), motor imbalance=170, gyro variability=0.036, acc variability=0.047, GPS sats min=11, GPS speed max=17.07 m/s, alt avg=673.5m, throttle avg=1145, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.11V (min=20.07V), amperage max=25.5A, rssi avg=36 (min=34), motor imbalance=1305, gyro variability=0.512, acc variability=0.939, GPS sats min=16, GPS speed max=20.02 m/s, alt avg=716.0m, throttle avg=1192, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.37V (min=22.26V), amperage max=4.0A, rssi avg=29 (min=29), motor imbalance=209, gyro variability=0.03, acc variability=0.213, GPS sats min=13, GPS speed max=16.06 m/s, alt avg=610.3m, throttle avg=1105, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.82V (min=21.72V), amperage max=7.25A, rssi avg=36 (min=35), motor imbalance=409, gyro variability=0.054, acc variability=0.176, GPS sats min=14, GPS speed max=20.55 m/s, alt avg=687.4m, throttle avg=1194, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.99V (min=22.92V), amperage max=9.25A, rssi avg=38 (min=37), motor imbalance=616, gyro variability=0.185, acc variability=0.695, GPS sats min=8, GPS speed max=20.87 m/s, alt avg=821.9m, throttle avg=1218, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.94V (min=22.82V), amperage max=5.92A, rssi avg=36 (min=36), motor imbalance=161, gyro variability=0.04, acc variability=0.177, GPS sats min=9, GPS speed max=22.66 m/s, alt avg=783.1m, throttle avg=1172, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.74V (min=15.4V), amperage max=21.01A, rssi avg=53 (min=47), motor imbalance=326, gyro variability=1.816, acc variability=4.951, GPS sats min=11, GPS speed max=9.56 m/s, alt avg=102.5m, throttle avg=1038, failsafe phase=0, rx signal quality=0.42 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=21.42V (min=21.3V), amperage max=6.12A, rssi avg=36 (min=36), motor imbalance=255, gyro variability=0.07, acc variability=0.062, GPS sats min=16, GPS speed max=20.83 m/s, alt avg=433.2m, throttle avg=1184, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=23.38V (min=19.06V), amperage max=24.11A, rssi avg=78 (min=67), motor imbalance=398, gyro variability=4.016, acc variability=2.788, GPS sats min=14, GPS speed max=10.85 m/s, alt avg=140.4m, throttle avg=1696, failsafe phase=1, rx signal quality=0.66 → What issues occurred?",prop wash; motor desync; failsafe triggered
"Drone log, vbat avg=21.59V (min=21.5V), amperage max=7.15A, rssi avg=40 (min=39), motor imbalance=467, gyro variability=0.118, acc variability=0.061, GPS sats min=15, GPS speed max=20.02 m/s, alt avg=706.4m, throttle avg=1191, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.6V (min=22.38V), amperage max=5.65A, rssi avg=44 (min=43), motor imbalance=371, gyro variability=0.19, acc variability=0.354, GPS sats min=13, GPS speed max=19.41 m/s, alt avg=691.9m, throttle avg=1139, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.18V (min=20.99V), amperage max=6.05A, rssi avg=45 (min=43), motor imbalance=687, gyro variability=0.439, acc variability=0.263, GPS sats min=16, GPS speed max=16.34 m/s, alt avg=541.6m, throttle avg=1140, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.06V (min=16.02V), amperage max=19.29A, rssi avg=25 (min=37), motor imbalance=4, gyro variability=2.878, acc variability=36.436, GPS sats min=6, GPS speed max=24.84 m/s, alt avg=117.1m, throttle avg=1476, failsafe phase=1, rx signal quality=0.68 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=21.7V (min=21.54V), amperage max=7.8A, rssi avg=30 (min=30), motor imbalance=395, gyro variability=0.128, acc variability=0.185, GPS sats min=14, GPS speed max=16.07 m/s, alt avg=600.7m, throttle avg=1201, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.02V (min=18.68V), amperage max=5.83A, rssi avg=69 (min=56), motor imbalance=398, gyro variability=2.221, acc variability=30.232, GPS sats min=14, GPS speed max=3.39 m/s, alt avg=133.9m, throttle avg=1331, failsafe phase=1, rx signal quality=0.13 → What issues occurred?",motor desync; failsafe triggered
"Drone log, vbat avg=20.34V (min=10.02V), amperage max=20.51A, rssi avg=72 (min=42), motor imbalance=94, gyro variability=3.089, acc variability=28.805, GPS sats min=5, GPS speed max=2.48 m/s, alt avg=135.8m, throttle avg=1223, failsafe phase=0, rx signal quality=0.22 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=22.71V (min=22.6V), amperage max=4.97A, rssi avg=42 (min=42), motor imbalance=186, gyro variability=0.075, acc variability=0.072, GPS sats min=13, GPS speed max=16.67 m/s, alt avg=725.1m, throttle avg=1143, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=23.17V (min=22.89V), amperage max=14.45A, rssi avg=68 (min=71), motor imbalance=277, gyro variability=2.155, acc variability=21.538, GPS sats min=2, GPS speed max=19.67 m/s, alt avg=81.8m, throttle avg=1739, failsafe phase=0, rx signal quality=0.71 → What issues occurred?",motor desync; failsafe triggered
"Drone log, vbat avg=20.66V (min=16.44V), amperage max=11.81A, rssi avg=53 (min=22), motor imbalance=240, gyro variability=2.046, acc variability=5.507, GPS sats min=12, GPS speed max=18.04 m/s, alt avg=90.4m, throttle avg=1272, failsafe phase=1, rx signal quality=0.49 → What issues occurred?",rssi drop; failsafe triggered
"Drone log, vbat avg=22.36V (min=19.49V), amperage max=9.58A, rssi avg=68 (min=86), motor imbalance=389, gyro variability=4.183, acc variability=8.503, GPS sats min=2, GPS speed max=19.74 m/s, alt avg=93.7m, throttle avg=1622, failsafe phase=1, rx signal quality=0.42 → What issues occurred?",prop wash; motor desync; failsafe triggered
"Drone log, vbat avg=20.78V (min=16.76V), amperage max=24.68A, rssi avg=34 (min=82), motor imbalance=28, gyro variability=1.844, acc variability=7.43, GPS sats min=7, GPS speed max=3.41 m/s, alt avg=134.3m, throttle avg=1695, failsafe phase=1, rx signal quality=0.74 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=22.57V (min=22.42V), amperage max=5.05A, rssi avg=45 (min=45), motor imbalance=235, gyro variability=0.071, acc variability=0.107, GPS sats min=13, GPS speed max=22.18 m/s, alt avg=630.3m, throttle avg=1137, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=20.59V (min=21.82V), amperage max=21.89A, rssi avg=88 (min=28), motor imbalance=43, gyro variability=3.132, acc variability=1.988, GPS sats min=1, GPS speed max=12.0 m/s, alt avg=138.3m, throttle avg=1003, failsafe phase=0, rx signal quality=0.42 → What issues occurred?",rssi drop; failsafe triggered
"Drone log, vbat avg=21.53V (min=21.43V), amperage max=5.3A, rssi avg=46 (min=46), motor imbalance=323, gyro variability=0.056, acc variability=0.067, GPS sats min=16, GPS speed max=17.58 m/s, alt avg=573.6m, throttle avg=1166, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.82V (min=21.68V), amperage max=6.02A, rssi avg=34 (min=33), motor imbalance=486, gyro variability=0.072, acc variability=0.089, GPS sats min=14, GPS speed max=11.37 m/s, alt avg=681.4m, throttle avg=1157, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.28V (min=21.19V), amperage max=5.3A, rssi avg=43 (min=42), motor imbalance=281, gyro variability=0.113, acc variability=0.059, GPS sats min=16, GPS speed max=14.6 m/s, alt avg=443.0m, throttle avg=1161, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.42V (min=22.35V), amperage max=5.2A, rssi avg=40 (min=39), motor imbalance=149, gyro variability=0.031, acc variability=0.074, GPS sats min=13, GPS speed max=17.78 m/s, alt avg=698.6m, throttle avg=1153, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.66V (min=21.54V), amperage max=5.0A, rssi avg=27 (min=26), motor imbalance=189, gyro variability=0.046, acc variability=0.065, GPS sats min=16, GPS speed max=19.1 m/s, alt avg=765.3m, throttle avg=1161, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=20.7V (min=11.3V), amperage max=23.51A, rssi avg=96 (min=47), motor imbalance=144, gyro variability=0.618, acc variability=35.905, GPS sats min=0, GPS speed max=5.89 m/s, alt avg=62.1m, throttle avg=1416, failsafe phase=0, rx signal quality=0.39 → What issues occurred?",failsafe triggered; gps loss
"Drone log, vbat avg=22.77V (min=22.68V), amperage max=5.4A, rssi avg=43 (min=43), motor imbalance=229, gyro variability=0.055, acc variability=0.082, GPS sats min=11, GPS speed max=20.87 m/s, alt avg=683.5m, throttle avg=1148, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.66V (min=18.39V), amperage max=24.11A, rssi avg=54 (min=78), motor imbalance=235, gyro variability=3.072, acc variability=6.109, GPS sats min=3, GPS speed max=9.67 m/s, alt avg=89.9m, throttle avg=1409, failsafe phase=1, rx signal quality=0.34 → What issues occurred?",prop wash; failsafe triggered
"Drone log, vbat avg=22.19V (min=20.25V), amperage max=15.01A, rssi avg=56 (min=71), motor imbalance=28, gyro variability=0.192, acc variability=13.707, GPS sats min=3, GPS speed max=22.23 m/s, alt avg=61.6m, throttle avg=1350, failsafe phase=0, rx signal quality=0.92 → What issues occurred?",no issue
"Drone log, vbat avg=22.67V (min=18.88V), amperage max=22.92A, rssi avg=93 (min=79), motor imbalance=176, gyro variability=3.332, acc variability=25.229, GPS sats min=10, GPS speed max=15.87 m/s, alt avg=100.9m, throttle avg=1403, failsafe phase=1, rx signal quality=0.64 → What issues occurred?",prop wash; failsafe triggered
"Drone log, vbat avg=23.97V (min=21.67V), amperage max=23.79A, rssi avg=60 (min=48), motor imbalance=357, gyro variability=0.901, acc variability=29.547, GPS sats min=13, GPS speed max=18.55 m/s, alt avg=53.1m, throttle avg=1596, failsafe phase=1, rx signal quality=0.05 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=21.47V (min=21.75V), amperage max=19.4A, rssi avg=20 (min=56), motor imbalance=322, gyro variability=3.602, acc variability=27.851, GPS sats min=0, GPS speed max=14.12 m/s, alt avg=110.0m, throttle avg=1322, failsafe phase=0, rx signal quality=0.22 → What issues occurred?",motor desync; failsafe triggered; gps loss
"Drone log, vbat avg=23.8V (min=15.56V), amperage max=20.2A, rssi avg=91 (min=19), motor imbalance=47, gyro variability=0.752, acc variability=16.411, GPS sats min=5, GPS speed max=22.26 m/s, alt avg=129.3m, throttle avg=1547, failsafe phase=1, rx signal quality=0.9 → What issues occurred?",rssi drop; failsafe triggered
"Drone log, vbat avg=23.55V (min=20.33V), amperage max=18.19A, rssi avg=20 (min=35), motor imbalance=4, gyro variability=0.629, acc variability=34.26, GPS sats min=5, GPS speed max=18.11 m/s, alt avg=57.8m, throttle avg=1698, failsafe phase=1, rx signal quality=0.26 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=22.85V (min=22.71V), amperage max=6.67A, rssi avg=37 (min=36), motor imbalance=445, gyro variability=0.08, acc variability=0.246, GPS sats min=9, GPS speed max=20.64 m/s, alt avg=742.6m, throttle avg=1171, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.43V (min=22.31V), amperage max=5.25A, rssi avg=51 (min=50), motor imbalance=171, gyro variability=0.059, acc variability=0.065, GPS sats min=13, GPS speed max=15.99 m/s, alt avg=669.0m, throttle avg=1157, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=23.55V (min=23.42V), amperage max=5.72A, rssi avg=45 (min=43), motor imbalance=306, gyro variability=0.065, acc variability=0.158, GPS sats min=8, GPS speed max=21.47 m/s, alt avg=824.1m, throttle avg=1149, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.73V (min=21.59V), amperage max=6.0A, rssi avg=41 (min=41), motor imbalance=440, gyro variability=0.115, acc variability=0.097, GPS sats min=14, GPS speed max=21.94 m/s, alt avg=533.4m, throttle avg=1163, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.14V (min=10.23V), amperage max=20.58A, rssi avg=98 (min=44), motor imbalance=129, gyro variability=3.546, acc variability=28.223, GPS sats min=7, GPS speed max=15.72 m/s, alt avg=129.6m, throttle avg=1209, failsafe phase=1, rx signal quality=0.42 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=23.57V (min=20.82V), amperage max=6.81A, rssi avg=88 (min=38), motor imbalance=194, gyro variability=0.791, acc variability=3.915, GPS sats min=8, GPS speed max=1.37 m/s, alt avg=121.3m, throttle avg=1379, failsafe phase=0, rx signal quality=0.06 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=22.31V (min=22.18V), amperage max=3.92A, rssi avg=59 (min=58), motor imbalance=220, gyro variability=0.065, acc variability=0.179, GPS sats min=13, GPS speed max=17.06 m/s, alt avg=618.3m, throttle avg=1105, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.69V (min=21.54V), amperage max=14.15A, rssi avg=44 (min=43), motor imbalance=1062, gyro variability=0.769, acc variability=0.46, GPS sats min=16, GPS speed max=11.65 m/s, alt avg=663.9m, throttle avg=1042, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.83V (min=21.7V), amperage max=6.77A, rssi avg=36 (min=36), motor imbalance=387, gyro variability=0.044, acc variability=0.159, GPS sats min=14, GPS speed max=19.56 m/s, alt avg=700.3m, throttle avg=1194, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.55V (min=21.36V), amperage max=6.95A, rssi avg=38 (min=38), motor imbalance=450, gyro variability=0.064, acc variability=0.069, GPS sats min=15, GPS speed max=20.25 m/s, alt avg=705.2m, throttle avg=1190, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.36V (min=9.16V), amperage max=19.18A, rssi avg=50 (min=24), motor imbalance=20, gyro variability=3.395, acc variability=3.629, GPS sats min=14, GPS speed max=11.07 m/s, alt avg=109.7m, throttle avg=1505, failsafe phase=1, rx signal quality=0.34 → What issues occurred?",battery sag; rssi drop; failsafe triggered
"Drone log, vbat avg=22.36V (min=8.59V), amperage max=20.99A, rssi avg=31 (min=59), motor imbalance=380, gyro variability=2.636, acc variability=22.027, GPS sats min=9, GPS speed max=7.63 m/s, alt avg=121.6m, throttle avg=1434, failsafe phase=1, rx signal quality=0.99 → What issues occurred?",prop wash; motor desync; failsafe triggered
"Drone log, vbat avg=23.83V (min=16.71V), amperage max=21.92A, rssi avg=49 (min=24), motor imbalance=364, gyro variability=3.198, acc variability=36.819, GPS sats min=14, GPS speed max=22.4 m/s, alt avg=147.6m, throttle avg=1551, failsafe phase=0, rx signal quality=0.1 → What issues occurred?",prop wash; rssi drop; motor desync; failsafe triggered
"Drone log, vbat avg=20.53V (min=10.46V), amperage max=24.21A, rssi avg=71 (min=27), motor imbalance=254, gyro variability=1.801, acc variability=7.676, GPS sats min=6, GPS speed max=3.01 m/s, alt avg=143.0m, throttle avg=1689, failsafe phase=0, rx signal quality=0.04 → What issues occurred?",prop wash; battery sag; rssi drop; failsafe triggered
"Drone log, vbat avg=23.12V (min=11.09V), amperage max=6.16A, rssi avg=50 (min=65), motor imbalance=141, gyro variability=2.022, acc variability=27.144, GPS sats min=11, GPS speed max=5.72 m/s, alt avg=126.8m, throttle avg=1677, failsafe phase=0, rx signal quality=0.02 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=22.79V (min=22.65V), amperage max=5.42A, rssi avg=37 (min=36), motor imbalance=226, gyro variability=0.044, acc variability=0.095, GPS sats min=11, GPS speed max=22.51 m/s, alt avg=669.8m, throttle avg=1148, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=20.01V (min=18.45V), amperage max=19.32A, rssi avg=83 (min=88), motor imbalance=320, gyro variability=3.848, acc variability=20.406, GPS sats min=3, GPS speed max=8.24 m/s, alt avg=114.4m, throttle avg=1679, failsafe phase=1, rx signal quality=0.87 → What issues occurred?",prop wash; motor desync; failsafe triggered
"Drone log, vbat avg=23.05V (min=9.57V), amperage max=15.05A, rssi avg=94 (min=92), motor imbalance=51, gyro variability=4.416, acc variability=17.945, GPS sats min=14, GPS speed max=1.8 m/s, alt avg=145.2m, throttle avg=1006, failsafe phase=0, rx signal quality=0.34 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=21.53V (min=21.43V), amperage max=6.02A, rssi avg=48 (min=47), motor imbalance=510, gyro variability=0.1, acc variability=0.154, GPS sats min=16, GPS speed max=14.6 m/s, alt avg=622.5m, throttle avg=1155, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.85V (min=22.75V), amperage max=5.42A, rssi avg=31 (min=31), motor imbalance=244, gyro variability=0.071, acc variability=0.1, GPS sats min=11, GPS speed max=18.75 m/s, alt avg=765.8m, throttle avg=1150, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.34V (min=11.92V), amperage max=11.24A, rssi avg=48 (min=42), motor imbalance=261, gyro variability=2.789, acc variability=16.213, GPS sats min=12, GPS speed max=6.15 m/s, alt avg=112.0m, throttle avg=1196, failsafe phase=1, rx signal quality=0.72 → What issues occurred?",motor desync; failsafe triggered
"Drone log, vbat avg=21.9V (min=21.82V), amperage max=4.77A, rssi avg=39 (min=38), motor imbalance=288, gyro variability=0.039, acc variability=0.155, GPS sats min=13, GPS speed max=19.39 m/s, alt avg=599.1m, throttle avg=1136, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.65V (min=23.0V), amperage max=11.32A, rssi avg=82 (min=38), motor imbalance=366, gyro variability=0.99, acc variability=34.494, GPS sats min=3, GPS speed max=3.19 m/s, alt avg=71.8m, throttle avg=1762, failsafe phase=1, rx signal quality=0.27 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=23.21V (min=23.08V), amperage max=5.32A, rssi avg=31 (min=31), motor imbalance=232, gyro variability=0.045, acc variability=0.104, GPS sats min=8, GPS speed max=11.81 m/s, alt avg=691.7m, throttle avg=1137, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.61V (min=15.14V), amperage max=5.96A, rssi avg=65 (min=88), motor imbalance=391, gyro variability=1.793, acc variability=15.464, GPS sats min=4, GPS speed max=15.75 m/s, alt avg=130.9m, throttle avg=1188, failsafe phase=1, rx signal quality=0.28 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=23.01V (min=13.88V), amperage max=24.67A, rssi avg=75 (min=82), motor imbalance=323, gyro variability=3.047, acc variability=7.186, GPS sats min=4, GPS speed max=22.96 m/s, alt avg=99.8m, throttle avg=1639, failsafe phase=0, rx signal quality=0.75 → What issues occurred?",prop wash; motor desync; failsafe triggered
"Drone log, vbat avg=22.61V (min=22.39V), amperage max=5.65A, rssi avg=38 (min=37), motor imbalance=341, gyro variability=0.273, acc variability=0.103, GPS sats min=13, GPS speed max=13.4 m/s, alt avg=730.5m, throttle avg=1145, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=21.31V (min=18.53V), amperage max=12.69A, rssi avg=67 (min=61), motor imbalance=10, gyro variability=4.026, acc variability=30.215, GPS sats min=9, GPS speed max=15.36 m/s, alt avg=137.8m, throttle avg=1387, failsafe phase=0, rx signal quality=0.74 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=22.7V (min=22.56V), amperage max=5.15A, rssi avg=45 (min=44), motor imbalance=186, gyro variability=0.029, acc variability=0.074, GPS sats min=11, GPS speed max=16.65 m/s, alt avg=681.0m, throttle avg=1145, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=20.34V (min=13.19V), amperage max=16.67A, rssi avg=50 (min=60), motor imbalance=359, gyro variability=1.679, acc variability=30.09, GPS sats min=9, GPS speed max=4.84 m/s, alt avg=84.9m, throttle avg=1340, failsafe phase=1, rx signal quality=0.15 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=22.07V (min=15.73V), amperage max=12.48A, rssi avg=92 (min=27), motor imbalance=225, gyro variability=3.18, acc variability=31.057, GPS sats min=8, GPS speed max=6.87 m/s, alt avg=96.4m, throttle avg=1645, failsafe phase=1, rx signal quality=0.06 → What issues occurred?",prop wash; rssi drop; failsafe triggered
"Drone log, vbat avg=21.8V (min=21.25V), amperage max=11.77A, rssi avg=49 (min=87), motor imbalance=264, gyro variability=0.673, acc variability=19.839, GPS sats min=3, GPS speed max=20.07 m/s, alt avg=134.0m, throttle avg=1694, failsafe phase=1, rx signal quality=0.43 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=21.46V (min=18.99V), amperage max=6.22A, rssi avg=56 (min=24), motor imbalance=307, gyro variability=2.843, acc variability=36.542, GPS sats min=1, GPS speed max=11.51 m/s, alt avg=65.6m, throttle avg=1627, failsafe phase=1, rx signal quality=0.1 → What issues occurred?",prop wash; rssi drop; motor desync; failsafe triggered
"Drone log, vbat avg=23.36V (min=8.69V), amperage max=18.36A, rssi avg=53 (min=59), motor imbalance=143, gyro variability=1.87, acc variability=7.75, GPS sats min=6, GPS speed max=18.78 m/s, alt avg=84.1m, throttle avg=1243, failsafe phase=1, rx signal quality=0.06 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=23.05V (min=21.89V), amperage max=7.07A, rssi avg=81 (min=58), motor imbalance=118, gyro variability=4.918, acc variability=7.319, GPS sats min=9, GPS speed max=22.07 m/s, alt avg=86.8m, throttle avg=1379, failsafe phase=1, rx signal quality=0.55 → What issues occurred?",failsafe triggered
"Drone log, vbat avg=21.8V (min=21.68V), amperage max=7.02A, rssi avg=35 (min=35), motor imbalance=436, gyro variability=0.062, acc variability=0.105, GPS sats min=14, GPS speed max=21.27 m/s, alt avg=578.0m, throttle avg=1190, failsafe phase=0, rx signal quality=1.0 → What issues occurred?",no issue
"Drone log, vbat avg=22.63V (min=17.6V), amperage max=24.23A, rssi avg=56 (min=67), motor imbalance=129, gyro variability=2.293, acc variability=27.768, GPS sats min=8, GPS speed max=7.08 m/s, alt avg=59.3m, throttle avg=1006, failsafe phase=1, rx signal quality=0.68 → What issues occurred?",failsafe triggered
